,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
0,INFOSYSTCH,EQ,03-Jan-2000,14467.75,15625.0,15625.2,15625.0,15625.2,15625.2,15625.18,5137,80266571.4,-,-,-
1,INFOSYSTCH,EQ,04-Jan-2000,15625.2,16800.0,16875.25,16253.0,16875.25,16855.9,16646.38,56186,935293747.5,-,-,-
2,INFOSYSTCH,EQ,05-Jan-2000,16855.9,15701.0,16250.0,15507.45,15507.45,15507.45,15786.38,164605,2598516407.15,-,-,-
3,INFOSYSTCH,EQ,06-Jan-2000,15507.45,15256.65,15300.0,14266.85,14266.85,14266.85,14462.82,81997,1185907940.75,-,-,-
4,INFOSYSTCH,EQ,07-Jan-2000,14266.85,13125.5,13125.5,13125.5,13125.5,13125.5,13125.5,7589,99609419.5,-,-,-
5,INFOSYSTCH,EQ,10-Jan-2000,13125.5,13125.5,14175.5,12075.5,13750.0,13757.3,13270.6,236175,3134184818.75,-,-,-
6,INFOSYSTCH,EQ,11-Jan-2000,13757.3,13200.0,13800.0,12656.75,12656.75,12656.75,12885.28,122331,1576269769.9,-,-,-
7,INFOSYSTCH,EQ,12-Jan-2000,12656.75,11950.0,13349.0,11766.0,13010.0,13077.55,12873.99,203074,2614373290.65,-,-,-
8,INFOSYSTCH,EQ,13-Jan-2000,13077.55,13100.0,13149.0,12031.35,12033.0,12090.6,12529.38,156550,1961474749.3,-,-,-
9,INFOSYSTCH,EQ,14-Jan-2000,12090.6,12249.0,12297.0,11203.0,12170.0,12176.4,11896.77,125313,1490819628.7,-,-,-
10,INFOSYSTCH,EQ,17-Jan-2000,12176.4,12200.0,12885.0,11720.0,11773.0,11870.9,12210.99,141351,1726035813.45,-,-,-
11,INFOSYSTCH,EQ,18-Jan-2000,11870.9,11739.7,12169.0,11325.0,11930.0,11935.65,11818.44,158523,1873494622.25,-,-,-
12,INFOSYSTCH,EQ,19-Jan-2000,11935.65,12546.0,12890.5,12420.0,12890.5,12889.85,12765.4,156209,1994070491.9,-,-,-
13,INFOSYSTCH,EQ,20-Jan-2000,12889.85,13200.0,13551.0,12611.0,12739.0,12747.05,13196.1,154520,2039061016.1,-,-,-
14,INFOSYSTCH,EQ,21-Jan-2000,12747.05,12900.0,13590.0,12503.0,13550.0,13420.2,13122.91,162391,2131042830.5,-,-,-
15,INFOSYSTCH,EQ,24-Jan-2000,13420.2,13600.0,14489.0,13600.0,13840.1,13878.8,14027.99,197315,2767933423.75,-,-,-
16,INFOSYSTCH,EQ,25-Jan-2000,13878.8,13800.0,14250.0,13400.05,14190.0,14109.4,13923.52,159919,2226634875.3,-,-,-
17,INFOSYSTCH,EQ,27-Jan-2000,14109.4,7570.0,7600.0,7293.0,7405.0,7390.75,7464.8,202403,1510898710.4,-,-,-
18,INFOSYSTCH,EQ,28-Jan-2000,7390.75,7426.0,7699.0,7426.0,7625.0,7611.55,7592.45,270024,2050144623.25,-,-,-
19,INFOSYSTCH,EQ,31-Jan-2000,7611.55,7535.5,7544.0,7127.0,7218.0,7221.7,7396.24,118723,878104384.15,-,-,-
20,INFOSYSTCH,EQ,01-Feb-2000,7221.7,7250.0,7450.0,7150.0,7440.0,7417.4,7345.05,110241,809725416.95,-,-,-
21,INFOSYSTCH,EQ,02-Feb-2000,7417.4,7590.0,7700.0,7349.5,7370.0,7365.8,7447.18,148305,1104454015.8,-,-,-
22,INFOSYSTCH,EQ,03-Feb-2000,7365.8,7416.0,7510.0,7370.0,7465.0,7440.8,7437.0,94251,700944669.3,-,-,-
23,INFOSYSTCH,EQ,04-Feb-2000,7440.8,7475.0,7950.0,7475.0,7860.25,7896.95,7800.28,315261,2459125347.1,-,-,-
24,INFOSYSTCH,EQ,07-Feb-2000,7896.95,7899.0,8528.75,7899.0,8480.0,8496.2,8327.43,265447,2210490410.65,-,-,-
25,INFOSYSTCH,EQ,08-Feb-2000,8496.2,8495.0,9150.0,8495.0,8920.0,8898.2,8952.29,232856,2084593559.35,-,-,-
26,INFOSYSTCH,EQ,09-Feb-2000,8898.2,9399.0,9399.0,8600.0,8660.0,8709.75,8890.93,165555,1471938373.75,-,-,-
27,INFOSYSTCH,EQ,10-Feb-2000,8709.75,8799.0,9275.0,8799.0,9180.0,9209.0,9052.1,293402,2655903679.45,-,-,-
28,INFOSYSTCH,EQ,11-Feb-2000,9209.0,9269.0,9945.75,9269.0,9945.75,9945.75,9935.78,32816,326052529.85,-,-,-
29,INFOSYSTCH,EQ,14-Feb-2000,9945.75,10741.45,10741.45,10741.45,10741.45,10741.45,10741.45,23733,254926832.85,-,-,-
30,INFOSYSTCH,EQ,15-Feb-2000,10741.45,10741.45,10741.45,9882.15,9882.15,9961.75,10041.95,333437,3348357014.35,-,-,-
31,INFOSYSTCH,EQ,16-Feb-2000,9961.75,10050.0,10300.0,9635.0,9900.0,10037.85,10027.3,198757,1992995083.4,-,-,-
32,INFOSYSTCH,EQ,17-Feb-2000,10037.85,10000.0,10800.0,10000.0,10298.0,10298.3,10436.85,189457,1977333595.45,-,-,-
33,INFOSYSTCH,EQ,18-Feb-2000,10298.3,10419.0,10500.0,9775.0,9920.0,9864.6,10075.31,166067,1673175952.8,-,-,-
34,INFOSYSTCH,EQ,21-Feb-2000,9864.6,9850.0,10500.0,9701.0,10220.0,10254.75,10239.38,277368,2840076524.7,-,-,-
35,INFOSYSTCH,EQ,22-Feb-2000,10254.75,10339.0,10339.0,9750.0,9789.0,9830.1,9940.6,188540,1874200199.75,-,-,-
36,INFOSYSTCH,EQ,23-Feb-2000,9830.1,10500.0,10500.0,9043.7,9300.0,9214.95,9664.47,186634,1803717832.5,-,-,-
37,INFOSYSTCH,EQ,24-Feb-2000,9214.95,9390.0,9649.0,8988.0,9400.0,9297.0,9327.21,129070,1203862969.55,-,-,-
38,INFOSYSTCH,EQ,25-Feb-2000,9297.0,9400.0,9489.85,8850.0,8985.0,8987.2,9206.52,77029,709168887.4,-,-,-
39,INFOSYSTCH,EQ,28-Feb-2000,8987.2,8900.0,8900.0,8268.25,8555.0,8509.7,8417.28,119006,1001706609.35,-,-,-
40,INFOSYSTCH,EQ,29-Feb-2000,8509.7,8600.0,9190.5,8350.0,8700.0,8779.4,8933.35,250497,2237778403.35,-,-,-
41,INFOSYSTCH,EQ,01-Mar-2000,8779.4,9099.0,9481.75,9000.0,9481.75,9481.75,9372.07,98216,920486963.35,-,-,-
42,INFOSYSTCH,EQ,02-Mar-2000,9481.75,10134.75,10240.3,9932.1,10240.3,10240.3,10226.19,25110,256779716.4,-,-,-
43,INFOSYSTCH,EQ,03-Mar-2000,10240.3,11059.55,11059.55,11059.55,11059.55,11059.55,11059.55,26691,295190449.05,-,-,-
44,INFOSYSTCH,EQ,06-Mar-2000,11059.55,11939.65,11944.35,10560.0,11944.35,11944.35,11920.08,21653,258105584.0,-,-,-
45,INFOSYSTCH,EQ,07-Mar-2000,11944.35,12800.0,12899.9,12800.0,12899.9,12899.9,12899.72,54333,700880276.7,-,-,-
46,INFOSYSTCH,EQ,08-Mar-2000,12899.9,13450.0,13931.9,11985.0,12400.0,12315.05,13334.7,350512,4673973007.7,-,-,-
47,INFOSYSTCH,EQ,09-Mar-2000,12315.05,12690.0,13000.0,11630.0,11725.0,11858.55,12101.56,130230,1575985635.05,-,-,-
48,INFOSYSTCH,EQ,10-Mar-2000,11858.55,12099.0,12745.0,11426.55,11699.0,11664.8,12123.96,160307,1943556385.0,-,-,-
49,INFOSYSTCH,EQ,13-Mar-2000,11664.8,11700.0,12199.0,10731.65,10731.65,10731.65,11177.74,117401,1312278370.05,-,-,-
50,INFOSYSTCH,EQ,14-Mar-2000,10731.65,10210.0,10210.0,9873.15,9873.15,9873.15,9892.97,131103,1296997903.9,-,-,-
51,INFOSYSTCH,EQ,15-Mar-2000,9873.15,9131.0,10250.0,9083.3,9800.0,9966.95,9392.3,254096,2386545978.75,-,-,-
52,INFOSYSTCH,EQ,16-Mar-2000,9966.95,9600.0,9600.0,9169.6,9169.6,9169.6,9291.7,89462,831254252.2,-,-,-
53,INFOSYSTCH,EQ,21-Mar-2000,9169.6,9195.0,9903.2,8511.0,9903.2,9903.2,9732.01,228646,2225185116.4,-,-,-
54,INFOSYSTCH,EQ,22-Mar-2000,9903.2,9700.0,10695.5,9500.0,10695.5,10694.3,10526.01,149696,1575701944.05,-,-,-
55,INFOSYSTCH,EQ,23-Mar-2000,10694.3,10960.0,11540.0,10150.0,10210.0,10264.05,10702.85,222929,2385976353.25,-,-,-
56,INFOSYSTCH,EQ,24-Mar-2000,10264.05,10110.0,11080.0,10110.0,10731.0,10823.45,10777.58,191471,2063594546.35,-,-,-
57,INFOSYSTCH,EQ,27-Mar-2000,10823.45,10500.0,10999.0,10300.0,10358.85,10367.35,10543.87,126203,1330667787.7,-,-,-
58,INFOSYSTCH,EQ,28-Mar-2000,10367.35,10101.0,10200.0,9661.15,10048.0,9947.6,9893.31,139382,1378949400.7,-,-,-
59,INFOSYSTCH,EQ,29-Mar-2000,9947.6,10200.0,10680.0,10151.0,10175.0,10188.9,10331.58,102186,1055742856.5,-,-,-
60,INFOSYSTCH,EQ,30-Mar-2000,10188.9,9900.0,9900.0,9380.0,9725.0,9745.7,9640.54,119682,1153799220.9,-,-,-
61,INFOSYSTCH,EQ,31-Mar-2000,9745.7,9600.0,9600.0,8966.05,8979.0,8970.15,9047.51,126260,1142339212.0,-,-,-
62,INFOSYSTCH,EQ,03-Apr-2000,8970.15,8501.0,9000.0,8252.55,8252.55,8252.55,8363.56,58493,489209833.05,-,-,-
63,INFOSYSTCH,EQ,04-Apr-2000,8252.55,7592.35,7592.35,7592.35,7592.35,7592.35,7592.35,6253,47474964.55,-,-,-
64,INFOSYSTCH,EQ,05-Apr-2000,7592.35,7051.0,8199.0,7051.0,7830.0,7797.65,7667.31,442955,3396271303.6,-,-,-
65,INFOSYSTCH,EQ,06-Apr-2000,7797.65,7852.0,8421.5,7301.0,8421.5,8415.3,8026.76,469687,3770064312.85,-,-,-
66,INFOSYSTCH,EQ,07-Apr-2000,8415.3,9088.55,9088.55,9088.55,9088.55,9088.55,9088.55,3475,31582711.25,-,-,-
67,INFOSYSTCH,EQ,10-Apr-2000,9088.55,9815.65,9815.65,9815.65,9815.65,9815.65,9815.65,3291,32303304.15,-,-,-
68,INFOSYSTCH,EQ,11-Apr-2000,9815.65,9815.65,10600.9,9051.0,10600.9,10599.2,10176.6,424595,4320934487.5,-,-,-
69,INFOSYSTCH,EQ,12-Apr-2000,10599.2,10390.0,10573.0,9990.0,10085.0,10077.0,10261.81,256124,2628296074.8,-,-,-
70,INFOSYSTCH,EQ,13-Apr-2000,10077.0,9900.05,9900.05,9270.85,9270.85,9270.85,9270.93,51784,480085941.15,-,-,-
71,INFOSYSTCH,EQ,17-Apr-2000,9270.85,8529.2,8529.2,8529.2,8529.2,8529.2,8529.2,3439,29331918.8,-,-,-
72,INFOSYSTCH,EQ,18-Apr-2000,8529.2,8529.2,8799.0,7846.9,7846.9,7846.9,8014.61,233506,1871459557.9,-,-,-
